M1_Troop_Cnt,Loss_1,Loss_2,M2_Troop_Cnt,Loss_1,Loss_2
15000,207,207,15000,209,209
14586,204,204,14582,206,206
14178,201,201,14170,203,203
13776,198,198,13764,200,200
13380,195,195,13364,197,197
12990,193,193,12970,194,194
12604,190,190,12582,191,191
12224,187,187,12200,189,189
11850,184,184,11822,186,186
11482,181,181,11450,183,183
11120,178,178,11084,180,180
10764,175,175,10724,177,177
10414,172,172,10370,174,174
10070,169,169,10022,171,171
9732,166,166,9680,168,168
9400,163,163,9344,165,165
9074,161,161,9014,162,162
8752,158,158,8690,160,160
8436,155,155,8370,157,157
8126,152,152,8056,154,154
7822,149,149,7748,151,151
7524,146,146,7446,148,148
7232,143,143,7150,145,145
6946,140,140,6860,142,142
6666,137,137,6576,139,139
6392,134,134,6298,136,136
6124,131,131,6026,134,134
5862,128,128,5758,131,131
5606,125,125,5496,128,128
5356,123,123,5240,125,125
5110,120,120,4990,122,122
4870,117,117,4746,119,119
4636,114,114,4508,116,116
4408,111,111,4276,113,113
4186,108,108,4050,111,111
3970,105,105,3828,108,108
3760,102,102,3612,105,105
3556,99,99,3402,102,102
3358,96,96,3198,99,99
3166,93,93,3000,96,96
2980,90,90,2808,93,93
2800,87,87,2622,90,90
2626,84,84,2442,88,88
2458,81,81,2266,85,85
2296,78,78,2096,82,82
2140,75,75,1932,79,79
1990,72,72,1774,76,76
1846,68,68,1622,74,74
1710,65,65,1474,71,71
1580,62,62,1332,68,68
1456,59,59,1196,65,65
1338,56,56,1066,63,63
1226,52,52,940,60,60
1122,49,49,820,57,57
1024,45,45,706,55,55
934,42,42,596,52,52
850,38,38,492,50,50
774,34,34,392,48,48
706,30,30,296,46,46
646,25,25,204,44,44
596,19,19,116,42,42
558,10,10,32,41,41
